Brand,ProductType,Collection,ShadeName,ShadeCode,ProductURL,SwatchImageURL,ApproxHex
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Ice Vapor,CNDSIVAP,https://www.jklondon.com/products/cnd-shellac-ice-vapor-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/IceVapor.jpg?v=1726241029,#888580
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Candied,CNDSCAND,https://www.jklondon.com/products/cnd-shellac-candied-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/candied.jpg?v=1726238839,#AE8890
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Kiss the Skipper,CNDSKTS,https://www.jklondon.com/products/cnd-shellac-kiss-the-skipper-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/kisstheskipper.jpg?v=1656509162,#95213D
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Ruby Ritz,CNDSRRIT,https://www.jklondon.com/products/cnd-shellac-ruby-ritz-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/RubyRitz.jpg?v=1656590756,#6C2930
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,B Day Candle,CNDSBDAY,https://www.jklondon.com/products/cnd-shellac-b-day-candle-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/B-DAY-CANDLE.jpg?v=1726237869,#A7523A
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Element,CNDSELE,https://www.jklondon.com/products/cnd-shellac-element-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/ELEMENT.jpg?v=1726240459,#9A1831
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Soft Peony,CNDSSPE,https://www.jklondon.com/products/cnd-shellac-soft-peony-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/softpeony_5d61343e-ec42-48b2-8100-adb8489fbcd0.jpg?v=1656591132,#A77975
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Sangria at Sunset,CNDSSAS,https://www.jklondon.com/products/cnd-shellac-sangria-at-sunset-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/SangriaatSunset.jpg?v=1656680546,#9F1541
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Midnight Swim,CNDSMSW,https://www.jklondon.com/products/cnd-shellac-midnight-swim-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/MidnightSwim.jpg?v=1656589591,#323032
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,First Love,CNDSFLO,https://www.jklondon.com/products/cnd-shellac-first-love-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/FIRST-LOVE.jpg?v=1726240672,#7C2435
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Garnet Glamour,CNDSGGL,https://www.jklondon.com/products/cnd-shellac-garnet-glamour-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/GarnetGlamour.jpg?v=1656508616,#5D373B
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Kiss From a Rose,CNDSKFAR,https://www.jklondon.com/products/cnd-shellac-kiss-from-a-rose-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/kissfromarose.jpg?v=1726241206,#966272
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Fedora,CNDSFED,https://www.jklondon.com/products/cnd-shellac-fedora-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/Fedora_9ffac190-0736-4921-b3a0-2200befea08c.jpg?v=1726240540,#3D312D
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Devil Red,CNDSDR,https://www.jklondon.com/products/cnd-shellac-devil-red-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/devil-red.jpg?v=1726240140,#7D2A29
