Brand,Product Type,Category,Shade Name,ProductURL
The GelBottle Inc.,GelColor,Magnetic,Glow Up Magnetic,https://thegelbottle.com/gel-colour/glow-up-magnetic/
The GelBottle Inc.,GelColor,Magnetic,Limitless Magnetic,https://thegelbottle.com/gel-colour/limitless-magnetic/
The GelBottle Inc.,GelColor,Magnetic,Pool Party Magnetic,https://thegelbottle.com/gel-colour/pool-party-magnetic/
The GelBottle Inc.,GelColor,Magnetic,Luxe Magnetic,https://thegelbottle.com/gel-colour/luxe-Magnetic/
The GelBottle Inc.,BIAB,Sheer,19,https://thegelbottle.com/colours/19-biab/
The GelBottle Inc.,BIAB,Sheer,Dolly,https://thegelbottle.com/colours/dolly-biab/
The GelBottle Inc.,BIAB,Sheer,Teddy,https://thegelbottle.com/colours/teddy-biab/
The GelBottle Inc.,BIAB,Sheer,18,https://thegelbottle.com/colours/18-biab/
The GelBottle Inc.,BIAB,Standard,Fancy,https://thegelbottle.com/biab/fancy-biab/
The GelBottle Inc.,BIAB,Standard,NU05 All-In-One,https://thegelbottle.com/biabtm-20ml/nu05-all-in-one-biab/
The GelBottle Inc.,BIAB,Milky,Bunny,https://thegelbottle.com/shop-all/bunny-biab/
The GelBottle Inc.,BIAB,Sheer,Lady,https://thegelbottle.com/colours/lady-biab/
The GelBottle Inc.,BIAB,Milky,Dreamer,https://thegelbottle.com/colours/dreamer-biab/
The GelBottle Inc.,BIAB,Standard,20,https://thegelbottle.com/colours/20-biab/
The GelBottle Inc.,BIAB,Sheer,Clear All-In-One,https://thegelbottle.com/colours/clear-all-in-one-biab/
The GelBottle Inc.,BIAB,Sheer,16,https://thegelbottle.com/colours/16-biab/
The GelBottle Inc.,BIAB,Shimmery,Aurora,https://thegelbottle.com/colours/aurora-biab/
The GelBottle Inc.,BIAB,Sheer,Fleur HEMA-Free,https://thegelbottle.com/shop-all/fleur-hema-free-biab/
The GelBottle Inc.,BIAB,Standard,Fire,https://thegelbottle.com/more/fire-biab/
The GelBottle Inc.,BIAB,Sheer,Merci HEMA-Free,https://thegelbottle.com/shop-all/merci-hema-free-biab/
The GelBottle Inc.,BIAB,Milky,Snow,https://thegelbottle.com/more/snow-biab/
The GelBottle Inc.,BIAB,Milky,Milky,https://thegelbottle.com/colours/milky-biab/
The GelBottle Inc.,BIAB,Shimmery,Luna,https://thegelbottle.com/colours/luna-biab/
The GelBottle Inc.,BIAB,Sheer,Clear,https://thegelbottle.com/colours/clear-biab/
The GelBottle Inc.,BIAB,Standard,Hunny,https://thegelbottle.com/shop-all/hunny-biab/
The GelBottle Inc.,BIAB,Standard,Charm,https://thegelbottle.com/shop-all/charm-biab/
The GelBottle Inc.,BIAB,Sheer,Baby,https://thegelbottle.com/colours/baby-biab/
The GelBottle Inc.,BIAB,Standard,Love,https://thegelbottle.com/shop-all/love-biab/
The GelBottle Inc.,BIAB,Shimmery,Juliet,https://thegelbottle.com/colours/juliet-biab/
The GelBottle Inc.,BIAB,Sheer,Grace,https://thegelbottle.com/biab/grace-biab/
The GelBottle Inc.,BIAB,Sheer,Demure,https://thegelbottle.com/more/demure-biab/
The GelBottle Inc.,BIAB,Shimmery,My Boo,https://thegelbottle.com/shop-all/my-boo-biab/
The GelBottle Inc.,BIAB,Standard,Pudding,https://thegelbottle.com/outlet-70-off/pudding-biab/
The GelBottle Inc.,BIAB,Standard,NU04 All-In-One,https://thegelbottle.com/biabtm-20ml/nu04-all-in-one-biab/
The GelBottle Inc.,BIAB,Standard,NU08 All-In-One,https://thegelbottle.com/biabtm-20ml/nu08-all-in-one-biab/
The GelBottle Inc.,BIAB,Standard,Midnight,https://thegelbottle.com/more/midnight-biab/
The GelBottle Inc.,BIAB,Sheer,Dolly BIAB Mini,https://thegelbottle.com/colours/dolly-biab-mini/
The GelBottle Inc.,BIAB,Standard,Cupcake,https://thegelbottle.com/colours/cupcake-biab/
The GelBottle Inc.,BIAB,Glitter,Queen,https://thegelbottle.com/shop-all/queen-biab/
The GelBottle Inc.,BIAB,Standard,Chai,https://thegelbottle.com/outlet-70-off/chai-biab/
The GelBottle Inc.,BIAB,Standard,Baked,https://thegelbottle.com/colours/baked-biab/
The GelBottle Inc.,BIAB,Standard,Cutie,https://thegelbottle.com/shop-all/cutie-biab/
The GelBottle Inc.,BIAB,Glitter,Sugar,https://thegelbottle.com/shop-all/sugar-biab/
The GelBottle Inc.,BIAB,Standard,NU07 All-In-One,https://thegelbottle.com/biabtm-20ml/nu07-all-in-one-biab/
The GelBottle Inc.,BIAB,Sheer,Mindful,https://thegelbottle.com/more/mindful-biab/
The GelBottle Inc.,BIAB,Standard,Spirited,https://thegelbottle.com/colours/spirited-biab/
The GelBottle Inc.,BIAB,Standard,Kind,https://thegelbottle.com/colours/kind-biab/
The GelBottle Inc.,BIAB,Standard,Powerful,https://thegelbottle.com/colours/powerful-biab/
The GelBottle Inc.,BIAB,Sheer,Ballet HEMA-Free,https://thegelbottle.com/shop-all/ballet-hema-free-biab/
The GelBottle Inc.,BIAB,Standard,Peachy,https://thegelbottle.com/more/peachy-biab/
