Brand,Product Type,Collection,Category,Shade Name,ApproxHex,ProductURL,SwatchURL
The GelBottle Inc.,GelColor,,Standard,Bootie,#E63F1C,https://thegelbottle.com/gel-colour/bootie/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1991/images/385080/61812626db9357254615f6edbb6b0d14aba30573_Medium_01_25008_EC_POPS_BOOTIE_9018_FINAL_1500x1500crop_72dpi__71588.1758289488.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,Mustang,#987964,https://thegelbottle.com/gel-colour/mustang/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1989/images/384223/bec697ef7234261e11a7f3cc997a76558faf7feb_Medium_01_25008_EC_POPS_MUSTANG_9005_FINAL_1500x1500crop_72dpi__57999.1758289486.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,Wanted,#C5B29F,https://thegelbottle.com/gel-colour/wanted/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1987/images/383236/51b3e6e7b07fdb0f5576cbebcb701fc15baae34a_Medium_01_25008_EC_POPS_WANTED_8993_FINAL_1500x1500crop_72dpi__24111.1758289486.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Glitter,Rhinestone,#B5AE9E,https://thegelbottle.com/gel-colour/rhinestone/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1994/images/386112/bb27cf8837528c9be3e8f2ec3d29683e105d5fe9_Medium_01_25008_EC_POPS_RHINESTONE_9016_FINAL_1500x1500crop_72dpi__98107.1758289488.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Denim,#1A2E6F,https://thegelbottle.com/gel-colour/denim/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1988/images/383414/0f12bd4a3b9df162daca4f38ad94f60c47bc41ed_Medium_01_25008_EC_POPS_DENIM_8988_FINAL_1500x1500crop_72dpi__49229.1758289487.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Daisy Dukes Magnetic,#5D8098,https://thegelbottle.com/gel-colour/daisy-dukes/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1995/images/386317/ec5a3e136c3b13c1b7cce00c88380a9bd8e3ad4d_Medium_01_25008_EC_POPS_DAISY_DUKES_9017_FINAL_1500x1500crop_72dpi__55556.1758289488.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Cowgirl,#D578A7,https://thegelbottle.com/gel-colour/cowgirl/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1996/images/386820/18c3fe433f62de12074b021436248c493056cfb1_Medium_01_25008_EC_POPS_COWGIRL_8987_FINAL_1500x1500crop_72dpi__36724.1758289487.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,9 to 5,#EEC3CB,https://thegelbottle.com/gel-colour/9-to-5/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1993/images/385826/f84705302ad1bdc583da9aeeed3d7334d37b0859_Medium_01_25008_EC_POPS_9_TO_5_9015_FINAL_1500x1500crop_72dpi__83668.1758289485.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Cheerleader Magnetic,#DBABB7,https://thegelbottle.com/gel-colour/cheerleader/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1990/images/384334/6aaa4657deeeb587ba34690803fd1a8bea9cd9b7_Small_01_25008_EC_POPS_CHEERLEADER_9023_FINAL_1500x1500crop_72dpi__26549.1758289485.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,Hot,#F96295,https://thegelbottle.com/shop/gel-colour/collections/hot/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1667/images/383615/e86c4396421120e5c0f51e76c412434c70516a1e_HOT_FD_Logo__49366.1758289475.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Mini Dress,#FE4E49,https://thegelbottle.com/shop/gel-colour/collections/mini-dress/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1669/images/384937/7215690af746dbe550d5d2c16fd2232490191bd9_59905_mini_dress__67854.1758289475.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Neon,#FE711F,https://thegelbottle.com/shop/gel-colour/collections/neon/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1671/images/387754/2190dd07c1bda6651f4d28118e91d98efbf094c3_59903_neon__78184.1758289475.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Vibes,#B9DB56,https://thegelbottle.com/shop/gel-colour/collections/vibes/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1668/images/385774/783593cddf33d6390e8f3a22ace8da8d5ad1e53e_59908_vibes__63602.1758289476.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Glitter, Reflective",Hypnotic,#8AB844,https://thegelbottle.com/shop/gel-colour/collections/hypnotic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1670/images/386767/7eb21008cefae41b0ec3f0631669c282940f2c90_59910_hypnotic__97263.1758289476.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Soft Clay Mini,#FED0AE,https://thegelbottle.com/gel-colour/soft-clay-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1978/images/387583/5a176066c84bdb4cbd21659d2df10b70317a7e39_25003_EC_POP_SOFT_CLAY_2341_1500x1500crop__70067.1758289506.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Chalk Blue Mini,#CCEDED,https://thegelbottle.com/gel-colour/chalk-blue-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1977/images/387297/0b59f45a8e6d1e8609e70c31e5043896d1934ca3_25003_EC_POP_CHALK_BLUE_2345_1500x1500crop__33083.1758289506.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Fresco Mini,#DBC7D6,https://thegelbottle.com/gel-colour/fresco-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1971/images/383554/5b84c43b87c84fd86ec7c93ff0dc4c17db9aefbd_25003_EC_POP_FRESCO_2344_1500x1500crop__72112.1758289498.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Limewash Mini,#EBECDB,https://thegelbottle.com/gel-colour/limewash-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1974/images/386229/b12c78ee9df2716307523457f100f56a34d0c876_25003_EC_POP_LIMEWASH_2338_1500x1500crop__56340.1758289505.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Linen Mini,#F1E0CC,https://thegelbottle.com/gel-colour/linen-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1976/images/387054/799b85f59d640005e95cf47952512bb8d8904347_25003_EC_POP_LINEN_2340_1500x1500crop__14375.1758289499.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Daisy Dukes Magnetic Mini,#5D8098,https://thegelbottle.com/gel-colour/daisy-dukes-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2003/images/384040/ec5a3e136c3b13c1b7cce00c88380a9bd8e3ad4d_Medium_01_25008_EC_POPS_DAISY_DUKES_9017_FINAL_1500x1500crop_72dpi__32738.1758289504.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,Mustang Mini,#987964,https://thegelbottle.com/gel-colour/mustang-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2002/images/384164/bec697ef7234261e11a7f3cc997a76558faf7feb_Medium_01_25008_EC_POPS_MUSTANG_9005_FINAL_1500x1500crop_72dpi__84789.1758289501.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Cheerleader Magnetic Mini,#DBABB7,https://thegelbottle.com/gel-colour/cheerleader-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2007/images/384256/6aaa4657deeeb587ba34690803fd1a8bea9cd9b7_Small_01_25008_EC_POPS_CHEERLEADER_9023_FINAL_1500x1500crop_72dpi__29645.1758289500.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Route 66 Mini,#CA1F2D,https://thegelbottle.com/gel-colour/route-66-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2011/images/387109/a30c21ae754805427c2580976540e5390cca4f59_Small_01_25008_EC_POPS_ROUTE66_8994_FINAL_1500x1500crop_72dpi__48232.1758289502.220.290.jpg?c=1
